timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745103171246,3,1908,-32030,-9849,30583,-31498,0
1745103171247,2,-14467,31962,-16009,-30852,32481,0
1745103171247,0,-30852,31430,-18585,26491,29579,0
1745103171249,1,4092,-2340,-9809,-8205,-26113,0
1745103171291,3,-22664,-32662,4712,22393,32654,0
1745103171292,2,18301,32467,-7129,-6275,32224,0
1745103171293,0,30585,31358,-29945,1912,30600,0
1745103171307,1,1536,-63,-27137,24566,-110,0
1745103171336,3,-18564,31065,11864,-10368,31391,0
1745103171337,2,30588,31669,-20169,1915,31671,0
1745103171351,0,-2184,32159,3240,22394,31668,0
1745103171352,1,256,-10767,-33,-16396,-180,0
1745103171397,3,-22658,30055,-19945,6017,31213,0
1745103171397,2,14203,31399,-19945,-26758,31389,0
1745103171398,0,22389,30792,-20201,18297,31635,0
1745103171399,1,0,-23808,-193,-12301,-3119,0
1745103171441,3,2178,31826,27063,30842,31527,0
1745103171442,2,-30853,31408,-20137,22395,31400,0
1745103171443,0,-10117,32535,-21369,-26759,30889,0
1745103171444,1,3940,-1537,-30289,-12292,-2853,0
1745103171486,3,-2186,32471,-24265,10365,32563,0
1745103171487,2,-10373,31411,-20073,-2181,31419,0
1745103171488,0,-30856,28979,-22425,-2177,30918,0
1745103171489,1,0,128,22534,-24581,-17665,0
1745103171532,3,26486,32413,-10713,14197,-32676,0
1745103171532,2,-14469,31681,-20809,-26757,31680,0
1745103171533,0,-6279,30673,-31625,-22662,31909,0
1745103171534,1,-8349,-1537,-28449,20474,-126,0
1745103171576,3,-6277,31597,13704,30592,31075,0
1745103171577,2,-18568,31398,-22729,26491,31932,0
1745103171578,0,10102,31637,-29577,14197,32416,0
1745103171579,1,2304,-174,-3329,-6833,-91,0
1745103171621,3,1919,31122,-1881,30588,30040,0
1745103171622,2,-30853,32188,-11961,-2182,31658,0
1745103171623,0,-26762,31547,-10793,-26761,31834,0
1745103171624,1,-24501,-31232,-81,16793,-13757,0
1745103171667,3,1919,31215,-27993,2176,31788,0
1745103171667,2,-30853,31400,-25241,-10376,30859,0
1745103171668,0,1911,30046,-15289,-30851,31414,0
1745103171669,1,-20476,512,-17862,-1,-3240,0
1745103171711,3,-10379,32221,-25513,10363,-31421,0
1745103171712,2,18299,31402,-18249,1916,31415,0
1745103171726,0,14196,30852,-26521,6014,31729,0
1745103171728,1,0,128,19462,8188,-20481,0
1745103171772,3,-30859,-32337,-6761,-10375,-31775,0
1745103171772,2,-18566,31665,-19945,1916,31432,0
1745103171773,0,1909,30863,-24601,14204,30892,0
1745103171774,1,-8189,113,0,28572,-10497,0
1745103171817,3,26490,31606,-1433,-14470,31329,0
1745103171817,2,-6277,31952,-16937,-14469,31419,0
1745103171818,0,-26761,32740,-21193,22393,31132,0
1745103171819,1,12114,-794,29151,24573,-192,0
1745103171861,3,-22658,31100,-22937,-26755,31979,0
1745103171862,2,-18567,31663,-18201,-18566,31665,0
1745103171863,0,1913,30577,22855,-6284,-32301,0
1745103171864,1,4205,2304,21568,2048,-205,0
1745103171906,3,-10363,29878,-29305,30850,31025,0
1745103171907,2,-10374,31387,-15929,14204,31676,0
1745103171908,0,18300,31116,-9609,6010,31376,0
1745103171909,1,-2561,12829,-97,-28673,-2722,0
1745103172026,3,-6019,32583,-17177,-14210,32546,0
1745103172026,2,10109,31949,-9305,6014,31952,0
1745103172026,0,-10376,30325,-20041,-18561,31990,0
1745103172026,1,0,110,263,-1,-1915,0
1745103172026,3,-10382,32707,-19033,1915,-32003,0
1745103172026,2,-30852,32220,-16377,-30851,31959,0
1745103172026,0,30579,30030,24775,10107,31162,0
1745103172026,1,-8192,83,-32256,28597,-2817,0
1745103172063,3,-6284,-32624,-3385,26486,32382,0
1745103172063,2,-10372,32227,-19689,-6277,31957,0
1745103172063,0,-6282,32218,-21513,6007,31118,0
1745103172063,1,1536,-165,-12807,2048,-155,0
1745103172087,3,-2182,31599,18904,1921,30562,0
1745103172102,2,-22661,31940,-16457,22395,31926,0
1745103172102,0,6006,31890,-6233,6010,31621,0
1745103172103,1,1024,-2601,-225,-10885,-177,0
1745103172147,3,1920,31416,-15017,10112,30363,0
1745103172147,2,14204,31661,-16713,-22662,31666,0
1745103172148,0,6008,31100,-19897,30584,30800,0
1745103172149,1,-24169,-15594,-81,4245,27136,0
1745103172191,3,-10113,31238,-21865,18559,31782,0
1745103172192,2,10108,31415,-14089,22396,31406,0
1745103172193,0,-2182,31117,-1961,-18562,31634,0
1745103172194,1,-24570,6400,-6052,-1,-2475,0
1745103172237,3,14202,32753,-29369,22647,-30714,0
1745103172237,2,-2180,31688,-18025,14204,31684,0
1745103172238,0,30585,30873,-14953,-30850,32218,0
1745103172239,1,0,1793,192,-4250,-1025,0
1745103172281,3,22392,32402,-10889,10106,-32579,0
1745103172282,2,10109,31951,-13017,-18564,31935,0
1745103172283,0,14199,31127,24007,-26503,32258,0
1745103172284,1,-24569,2048,0,24418,-9,0
1745103172326,3,-18565,-32621,12152,-14464,30837,0
1745103172327,2,-18565,32203,-11993,-18564,31950,0
1745103172328,0,30841,32529,-15913,6012,31169,0
1745103172329,1,-4567,-219,17663,-20483,-187,0
1745103172371,3,-26752,30577,-2457,6019,31210,0
1745103172372,2,22397,32206,-11721,-18564,32207,0
1745103172373,0,-18568,30792,-5513,26488,32386,0
1745103172374,1,28821,24576,-17,-3197,-3191,0
1745103172416,3,-10374,31465,-24505,-30594,32027,0
1745103172417,2,14204,31677,-12297,10109,31944,0
1745103172418,0,30581,31605,-8009,-22660,32459,0
1745103172419,1,12295,25600,-177,-12295,-3164,0
1745103172462,3,-22665,31960,30759,-14472,-32265,0
1745103172477,2,14205,31676,-14633,-14468,31432,0
1745103172477,0,22388,30001,-16489,6014,30634,0
1745103172492,1,0,146,-14588,-16389,-1826,0
1745103172521,3,-14474,32203,29943,14195,-31789,0
1745103172522,2,-30853,31678,-27369,6009,31663,0
1745103172523,0,30584,30672,13815,-30858,32206,0
1745103172524,1,8035,-23041,80,-24776,-3631,0
1745103172566,3,30584,31858,-3881,-14472,32089,0
1745103172567,2,-2181,32215,-16361,30588,32216,0
1745103172568,0,26748,31490,29687,10102,-32514,0
1745103172597,1,-4238,-1,32759,2304,-68,0
1745103172611,3,14209,30856,-2489,6019,30898,0
1745103172612,2,22396,32482,-11641,18300,31672,0
1745103172613,0,26494,30375,-22969,-26752,31464,0
1745103172614,1,24729,0,12296,-257,-44,0
1745103172656,3,14211,29603,-21081,-6273,30680,0
1745103172657,2,-14469,31931,-13769,1916,31662,0
1745103172658,0,1915,30257,-21113,22391,30555,0
1745103172659,1,-24400,18176,-161,28886,20992,0
1745103172701,3,30584,31732,-29577,18299,31975,0
1745103172702,2,-30852,31406,-11913,-6276,31935,0
1745103172703,0,10104,30585,5719,10098,30012,0
1745103172704,1,0,0,0,0,130,0
1745103172746,3,-26763,-32586,-29129,26744,-31439,0
1745103172747,2,1918,32224,-9913,-26754,32755,0
1745103172748,0,18301,30645,-15449,-10367,30716,0
1745103172749,1,8192,193,-28414,-4138,-12801,0
1745103172791,3,22386,30814,17207,13930,30150,0
1745103172792,2,-30851,31974,-14361,14204,31681,0
1745103172793,0,-18576,28441,-3674,9834,29664,0
1745103172794,1,3916,-21505,0,2048,-252,0
1745103172837,3,-31120,29174,24551,1911,29753,0
1745103172851,2,-10376,30867,27815,6006,30571,0
1745103172852,0,-10380,31884,-12793,-22663,29559,0
1745103172853,1,2048,-1,20223,32764,-208,0
1745103172896,3,-10372,30860,12744,-14202,-31937,0
1745103172897,2,-10378,31355,-27881,22391,31357,0
1745103172898,0,30851,32585,13672,14475,-32080,0
1745103172899,1,8,25344,-161,-4103,-1142,0
1745103172942,3,-14202,32553,1224,30856,-32103,0
1745103172942,2,-10374,31378,-13081,26491,31656,0
1745103172943,0,10376,-29723,-31480,22925,-29946,0
1745103172944,1,10,8448,32125,-1,-705,0
1745103173001,3,-14210,32537,-2889,30850,-30334,0
1745103173002,2,-22659,31953,-9657,18303,32241,0
1745103173003,0,10364,-31445,-6777,-10118,-29327,0
1745103173004,1,-16370,2560,208,2304,-59,0
1745103173031,3,-14467,32253,26375,-18313,-31742,0
1745103173032,2,-6275,31705,-25305,-10374,31931,0
1745103173033,0,-6278,-32371,10424,22391,-31881,0
1745103173034,1,-16392,28159,32,1536,-172,0
1745103173077,3,-30857,31876,-11945,-18306,-32725,0
1745103173077,2,-14470,31670,-20041,14203,31942,0
1745103173078,0,-22663,31321,2712,30588,29264,0
1745103173079,1,0,2841,144,-20634,-48,0
1745103173122,3,-6277,31402,-7081,1919,32209,0
1745103173122,2,-2180,32215,-7449,-6276,32208,0
1745103173123,0,9846,26877,-442,-30859,29021,0
1745103173137,1,0,0,32512,1536,-184,0
1745103173166,3,14202,29527,-23577,14206,31728,0
1745103173167,2,14201,30851,-29321,30584,30067,0
1745103173167,0,26481,27744,-26714,26483,27271,0
1745103173169,1,-16380,768,10016,2304,-175,0
1745103173212,3,6014,29840,25751,-18566,31691,0
1745103173212,2,26490,31131,-21385,-6278,31134,0
1745103173226,0,-10655,28920,20982,-30878,31787,0
1745103173227,1,0,512,18208,2048,-165,0
1745103173272,3,-22668,31900,21543,6006,30874,0
1745103173272,2,10109,32220,-4105,6272,-32744,0
1745103173273,0,18016,31171,1255,-15012,28397,0
1745103173274,1,1536,-228,-22273,-20490,-136,0
1745103173317,3,-30856,30589,29783,-18572,32737,0
1745103173317,2,14207,32227,-14457,-14468,31961,0
1745103173318,0,30310,27976,4567,-31123,29130,0
1745103173319,1,0,2304,80,-185,-358,0
1745103173362,3,-6278,32155,-921,30589,32678,0
1745103173362,2,22393,31388,-21993,22395,31932,0
1745103173363,0,22141,27631,-24649,6017,28795,0
1745103173364,1,-5,-1089,-16385,-4101,-833,0
1745103173407,3,22399,30871,-7737,1921,32253,0
1745103173407,2,-6279,31394,-20873,10105,31640,0
1745103173408,0,-22397,30532,-30921,-30583,31926,0
1745103173409,1,24579,114,15622,-1,-1891,0
1745103173467,3,6274,31274,-20089,-22656,31456,0
1745103173467,2,-14470,30879,-32505,14203,31167,0
1745103173468,0,-6023,31805,11783,-18309,-31618,0
1745103173469,1,-5,-1089,-16385,4092,-193,0
1745103173497,3,30848,-32765,-1305,-1922,-32480,0
1745103173497,2,6010,30868,-25401,-10376,31115,0
1745103173498,0,-6285,-29986,5304,18291,-31307,0
1745103173499,1,0,-23808,-193,-16397,-1082,0
